5,"Saturday, 24 April (7:10 pm) ",Port Adelaide 7.12 (54) ,def. ,St Kilda 6.8 (44) ,"AAMI Stadium (crowd: 23,355) ",Report
5,"Sunday, 25 April (2:40 pm) ",Collingwood 18.12 (120) ,def. ,Essendon 8.7 (55) ,"MCG (crowd: 90,070) ",Report
5,"Sunday, 25 April (5:40 pm) ",Hawthorn 10.10 (70) ,def. by ,North Melbourne 12.10 (82) ,"Aurora Stadium (crowd: 16,301) ",Report
5,"Sunday, 25 April (6:40 pm) ",Fremantle 15.22 (112) ,def. ,Richmond 11.7 (73) ,"Subiaco Oval (crowd: 38,010) ",Report
5,"Monday, 26 April (2:10 pm) ",Carlton 15.14 (104) ,def. ,Geelong 9.14 (68) ,"MCG (crowd: 71,399) ",Report
,,,,,,
6,"Friday, 30 April (7:40 pm) ",Western Bulldogs 6.10 (46) ,def. by ,St Kilda 7.7 (49) ,"Etihad Stadium (crowd: 43,072) ",Report
6,"Saturday, 1 May (2:10 pm) ",North Melbourne 15.14 (104) ,def. ,Melbourne 12.6 (78) ,"Etihad Stadium (crowd: 26,763) ",Report
6,"Saturday, 1 May (2:40 pm) ",Adelaide 10.14 (74) ,def. by ,Port Adelaide 14.13 (97) ,"AAMI Stadium (crowd: 40,371) ",Report
6,"Saturday, 1 May (7:10 pm) ",Sydney 16.11 (107) ,def. ,Brisbane Lions 13.9 (87) ,"SCG (crowd: 30,975) ",Report
6,"Saturday, 1 May (7:10 pm) ",Essendon 15.16 (106) ,def. ,Hawthorn 9.9 (63) ,"MCG (crowd: 61,006) ",Report
6,"Sunday, 2 May (1:10 pm) ",Geelong 24.17 (161) ,def. ,Richmond 7.11 (53) ,"Skilled Stadium (crowd: 24,106) ",Report
6,"Sunday, 2 May (2:10 pm) ",Carlton 16.6 (102) ,def. by ,Collingwood 24.11 (155) ,"MCG (crowd: 80,645) ",Report
6,"Sunday, 2 May (2:40 pm) ",West Coast 10.13 (73) ,def. by ,Fremantle 17.9 (111) ,"Subiaco Oval (crowd: 40,886) ",Report
,,,,,,
7,"Friday, 7 May (7:40 pm) ",Melbourne 9.12 (66) ,def. by ,Western Bulldogs 10.10 (70) ,"MCG (crowd: 45,444) ",Report
7,"Saturday, 8 May (2:10 pm) ",Essendon 16.10 (106) ,def. by ,Port Adelaide 17.7 (109) ,"Etihad Stadium (crowd: 29,248) ",Report
7,"Saturday, 8 May (1:10 pm) ",West Coast 15.12 (102) ,def. ,Hawthorn 14.10 (94) ,"Subiaco Oval (crowd: 35,864) ",Report
