1,"Friday, 22 March (8:10 pm) ",Adelaide 11.16 (82) ,def. by ,Essendon 18.9 (117) ,"AAMI Stadium (crowd: 42,218) "
1,"Saturday, 23 March (4:40 pm) ",Fremantle 16.12 (108) ,def. ,West Coast 11.14 (80) ,"Patersons Stadium (crowd: 39,629) "
1,"Thursday, 28 March (7:45 pm) ",Carlton 14.17 (101) ,def. by ,Richmond 14.22 (106) ,"MCG (crowd: 80,971) "
1,"Saturday, 30 March (1:40 pm) ",Western Bulldogs 19.13 (127) ,def. ,Brisbane Lions 7.17 (59) ,"Etihad Stadium (crowd: 25,263) "
1,"Saturday, 30 March (4:40 pm) ",Greater Western Sydney 11.10 (76) ,def. by ,Sydney 16.10 (106) ,"ANZ Stadium (crowd: 23,690) "
1,"Saturday, 30 March (6:45 pm) ",Gold Coast 13.12 (90) ,def. ,St Kilda 10.17 (77) ,"Metricon Stadium (crowd: 13,832) "
1,"Sunday, 31 March (1:10 pm) ",Melbourne 8.6 (54) ,def. by ,Port Adelaide 19.19 (133) ,"MCG (crowd: 22,924) "
1,"Sunday, 31 March (4:40 pm) ",North Melbourne 13.9 (87) ,def. by ,Collingwood 15.13 (103) ,"Etihad Stadium (crowd: 41,040) "
1,"Monday, 1 April (3:20 pm) ",Hawthorn 12.14 (86) ,def. by ,Geelong 13.15 (93) ,"MCG (crowd: 76,300) "
,,,,,
2,"Friday, 5 April (7:50 pm) ",St Kilda 12.10 (82) ,def. by ,Richmond 14.15 (99) ,"MCG (crowd: 56,783) "
2,"Saturday, 6 April (1:45 pm) ",Sydney 17.12 (114) ,def. ,Gold Coast 11.7 (73) ,"SCG (crowd: 20,372) "
2,"Saturday, 6 April (2:10 pm) ",Western Bulldogs 11.12 (78) ,def. by ,Fremantle 16.10 (106) ,"Etihad Stadium (crowd: 19,210) "
2,"Saturday, 6 April (3:40 pm) ",Brisbane Lions 10.17 (77) ,def. by ,Adelaide 14.12 (96) ,"Gabba (crowd: 21,308) "
