5,"Wednesday, 25 April (2:40 pm) ",Collingwood 11.14 (80) ,def. ,Essendon 11.13 (79) ,"MCG (crowd: 86,932) "
5,"Friday, 27 April (6:45 pm) ",Fremantle 7.15 (57) ,def. by ,Carlton 10.5 (65) ,"Patersons Stadium (crowd: 38,847) "
5,"Saturday, 28 April (1:45 pm) ",Greater Western Sydney 9.8 (62) ,def. by ,Western Bulldogs 15.14 (104) ,"Manuka Oval (crowd: 9,128) "
5,"Saturday, 28 April (4:40 pm) ",North Melbourne 17.25 (127) ,def. ,Gold Coast 13.15 (93) ,"Etihad Stadium (crowd: 17,680) "
5,"Saturday, 28 April (7:40 pm) ",Melbourne 10.6 (66) ,def. by ,St Kilda 12.12 (84) ,"MCG (crowd: 24,798) "
5,"Saturday, 28 April (7:45 pm) ",Brisbane Lions 4.17 (41) ,def. by ,Geelong 12.7 (79) ,"The Gabba (crowd: 15,528) "
5,"Sunday, 29 April (1:10 pm) ",Hawthorn 10.9 (69) ,def. by ,Sydney 16.10 (106) ,"Aurora Stadium (crowd: 19,217) "
5,"Sunday, 29 April (3:15 pm) ",Richmond 14.13 (97) ,def. by ,West Coast 16.11 (107) ,"Etihad Stadium (crowd: 28,448) "
5,"Sunday, 29 April (4:10 pm) ",Adelaide 16.14 (110) ,def. ,Port Adelaide 14.7 (91) ,"AAMI Stadium (crowd: 41,649) "
,,,,,
6,"Friday, 4 May (7:50 pm) ",Western Bulldogs 11.11 (77) ,def. by ,Collingwood 15.8 (98) ,"Etihad Stadium (crowd: 38,155) "
6,"Saturday, 5 May (1:40 pm) ",Essendon 19.15 (129) ,def. ,Brisbane Lions 9.8 (62) ,"Etihad Stadium (crowd: 36,361) "
6,"Saturday, 5 May (1:45 pm) ",Geelong 17.17 (119) ,def. ,Melbourne 11.10 (76) ,"Simonds Stadium (crowd: 18,010) "
6,"Saturday, 5 May (4:40 pm) ",Gold Coast 14.3 (87) ,def. by ,Fremantle 14.10 (94) ,"Metricon Stadium (crowd: 11,670) "
6,"Saturday, 5 May (7:40 pm) ",Sydney 14.10 (94) ,def. by ,Adelaide 15.9 (99) ,"SCG (crowd: 23,969) "
6,"Saturday, 5 May (7:40 pm) ",St Kilda 13.10 (88) ,def. by ,Hawthorn 18.15 (123) ,"MCG (crowd: 42,289) "
6,"Sunday, 6 May (1:10 pm) ",Carlton 15.20 (110) ,def. ,Greater Western Sydney 6.7 (43) ,"Etihad Stadium (crowd: 28,201) "
6,"Sunday, 6 May (2:45 pm) ",Port Adelaide 8.6 (54) ,def. by ,Richmond 13.13 (91) ,"AAMI Stadium (crowd: 18,552) "
6,"Sunday, 6 May (2:40 pm) ",West Coast 17.18 (120) ,def. ,North Melbourne 15.5 (95) ,"Patersons Stadium (crowd: 37,202) "
,,,,,
7,"Friday, 11 May (7:50 pm) ",Melbourne 6.13 (49) ,def. by ,Hawthorn 15.25 (115) ,"MCG (crowd: 36,430) "
7,"Saturday, 12 May (12:45 pm) ",Adelaide 19.8 (122) ,def. ,Geelong 10.12 (72) ,"AAMI Stadium (crowd: 35,535) "
7,"Saturday, 12 May (1:40 pm) ",Greater Western Sydney 13.16 (94) ,def. ,Gold Coast 9.13 (67) ,"Manuka Oval, Canberra (crowd: 8,603) "
7,"Saturday, 12 May (4:40 pm) ",Richmond 13.13 (91) ,def. ,Sydney 8.14 (62) ,"MCG (crowd: 40,352) "
7,"Saturday, 12 May (7:40 pm) ",Brisbane Lions 8.10 (58) ,def. by ,Collingwood 17.14 (116) ,"The Gabba (crowd: 27,926) "
7,"Saturday, 12 May (7:40 pm) ",Essendon 16.17 (113) ,def. ,West Coast 7.10 (52) ,"Etihad Stadium (crowd: 43,260) "
7,"Sunday, 13 May (1:10 pm) ",North Melbourne 12.11 (83) ,def. by ,Western Bulldogs 15.11 (101) ,"Etihad Stadium (crowd: 20,885) "
